-10.77,-1.07,11.65
-12.86,-1.06,11.61
-14.49,-2.12,9.69
-13.96,-4.24,9.68
-11.62,-5.83,8.84
-8.21,-6.92,9.01
-3.96,-8.01,9.98
-0.05,-8.58,11.08
3.67,-8.41,11.26
7.18,-6.67,10.98
10.41,-5.59,11.36
14.37,-2.22,12.22
18.15,1.41,11.38
19.49,2.18,10.38
18.93,3.08,9.88
16.84,2.89,9.80
13.35,2.17,10.31
10.62,1.22,10.46
8.83,0.53,9.95
7.69,0.23,9.38
7.69,0.43,9.50
7.57,1.12,10.13
7.06,0.38,10.69
5.96,-0.39,10.61
4.71,-1.18,10.20
3.60,-1.67,10.08
2.38,-1.89,10.07
0.91,-2.75,10.01
-0.73,-2.89,9.94
-2.79,-3.19,9.71
-3.80,-3.00,9.91
-4.47,-2.43,10.33
-5.34,-2.30,11.06
-6.25,-2.08,11.38
-6.38,-1.60,11.10
-5.78,-0.74,10.12
-5.21,-0.11,9.52
-4.46,0.02,9.94
-3.49,0.32,10.39
-2.65,0.52,10.40

--------
1
--------
0.89,-4.68,40.11
2.62,1.78,20.89
0.51,-3.12,9.47
0.05,-0.59,9.95
-0.36,-1.60,10.03
0.58,-1.60,9.98
1.49,-2.17,9.38
1.65,-1.55,9.32
1.83,-1.45,9.56
1.83,-1.59,9.70
1.41,-1.49,9.95
1.33,-1.40,9.98
1.29,-1.47,10.03
1.21,-1.49,10.10
1.19,-1.49,9.99
1.14,-1.51,9.88
1.13,-1.46,9.82
1.21,-1.51,9.74
1.30,-1.56,9.72
1.35,-1.57,9.77
1.31,-1.57,9.82
1.29,-1.50,9.85
1.28,-1.50,9.90
1.24,-1.45,9.97
1.27,-1.53,9.85
1.27,-1.54,9.81
1.23,-1.53,9.82
1.23,-1.55,9.75
1.28,-1.50,9.82
1.30,-1.46,9.83
1.29,-1.53,9.82
1.24,-1.53,9.87
1.20,-1.53,9.87
1.23,-1.56,9.81
1.23,-1.53,9.84
1.25,-1.53,9.84
1.25,-1.54,9.83
1.24,-1.52,9.83
1.25,-1.54,9.83
1.28,-1.51,9.81

--------
2
--------
1.90,1.81,24.65
2.00,2.64,25.97
2.21,3.01,24.86
1.85,2.40,21.07
0.75,0.81,16.47
0.11,0.49,11.68
-0.13,0.69,8.97
