21.16,1.65,10.51
22.55,0.80,10.51
19.89,-1.92,10.92
14.07,-4.69,11.09
6.73,-6.79,12.00
0.85,-7.59,12.86
-4.77,-8.16,11.73
-9.75,-7.62,10.22
-13.44,-6.78,8.94
-15.30,-5.23,8.87
-15.00,-4.07,9.03
-13.25,-3.70,9.15
-10.70,-3.23,9.39
-8.60,-2.72,9.90
-7.19,-2.59,10.66
-5.72,-1.83,10.91
-4.37,-1.00,11.06
-3.30,-0.27,11.42
-2.49,0.18,11.58
-1.79,0.40,11.40
-1.02,0.25,11.08
-0.27,-0.40,10.38
0.49,-1.11,9.66
1.85,-1.71,9.77
3.75,-2.00,10.04
5.59,-1.68,9.51
6.52,-1.26,8.60
6.77,-1.04,8.39
6.82,-0.60,8.44
6.46,0.00,8.34
5.72,0.13,8.33
4.74,0.21,8.49
3.92,0.35,8.83
3.56,0.50,9.37
3.64,0.60,9.72
3.73,0.68,9.87
3.61,0.67,10.03
3.22,0.49,10.47
2.77,0.38,11.00
2.49,0.32,11.21

--------
1
--------
16.00,0.63,13.75
21.30,2.92,13.21
21.61,1.60,11.39
17.36,-2.35,11.42
9.91,-6.35,12.60
3.90,-7.90,13.45
0.46,-7.51,12.09
-3.40,-7.37,10.03
-7.01,-7.13,8.94
-9.63,-6.54,8.49
-10.54,-5.27,8.02
-11.22,-4.70,8.09
-11.66,-4.38,8.35
-10.85,-3.91,8.89
-9.88,-3.18,9.70
-9.73,-2.55,10.09
-10.01,-2.20,9.94
-9.40,-2.06,9.58
-8.47,-1.86,9.62
-8.00,-1.69,9.99
-7.36,-1.49,10.20
-6.14,-1.88,10.14
-4.97,-2.46,10.19
-3.67,-3.25,10.09
-1.63,-4.22,10.00
1.92,-5.18,10.67
6.41,-5.21,11.20
9.90,-4.75,10.56
11.44,-3.52,9.65
11.53,-1.92,8.77
10.80,-1.20,8.35
9.85,-0.86,8.54
8.97,-0.67,9.15
8.25,-0.23,9.45
7.42,0.18,9.32
6.20,0.42,9.41
4.80,0.40,9.55
3.61,0.07,9.67
2.94,-0.14,9.85
2.73,-0.13,10.14

--------
2
--------
23.19,1.67,9.42
29.77,2.07,10.23
23.98,-2.88,11.94
9.85,-9.05,13.55
-2.53,-10.09,15.70
-9.08,-8.18,15.59
-10.05,-5.84,12.38
-8.81,-4.20,9.43
-7.81,-3.34,8.50
-7.85,-3.00,8.26
-8.71,-3.01,8.26
-8.83,-2.57,9.35
-7.95,-1.82,10.44
-7.74,-1.40,10.58
-7.32,-1.06,9.97
-6.54,-0.92,9.60
-5.97,-0.37,9.46
-5.68,-0.27,9.36
-5.40,-0.60,9.36
